StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q3_1,Q5_1,Q7_1,Q9_1,Q11_1,Q64_1,Q65_1,Q66_1,Q67_1,Q68_1,Q70_1,Q71_1,Q72_1,Q73_1,Q74_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,condition
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""condition""}"
12/5/18 10:45,12/5/18 10:46,100,59,TRUE,12/5/18 10:46,38,76,61,24,78,81,67,41,69,35,80,81,38,63,11,15,88,100,62,75,liar
12/5/18 10:45,12/5/18 10:46,100,58,TRUE,12/5/18 10:46,68,66,64,64,61,69,70,66,62,68,53,55,44,61,54,64,67,65,69,69,control
12/5/18 10:46,12/5/18 10:47,100,53,TRUE,12/5/18 10:47,59,44,39,60,61,59,58,46,61,61,70,61,36,61,44,59,58,62,40,59,liar
12/5/18 10:45,12/5/18 10:47,100,89,TRUE,12/5/18 10:47,29,95,6,29,38,13,95,3,23,13,24,97,12,39,26,17,98,8,27,28,control
12/5/18 10:45,12/5/18 10:47,100,83,TRUE,12/5/18 10:47,12,88,45,35,29,12,98,42,40,23,13,92,41,39,25,23,96,47,43,32,hypocrite
12/5/18 10:45,12/5/18 10:47,100,89,TRUE,12/5/18 10:47,41,31,43,25,20,44,73,26,38,12,32,76,26,36,30,26,20,20,28,20,hypocrite
12/5/18 10:46,12/5/18 10:47,100,68,TRUE,12/5/18 10:47,48,63,54,54,47,38,70,53,48,48,30,87,23,47,17,45,60,49,54,49,liar
12/5/18 10:45,12/5/18 10:47,100,99,TRUE,12/5/18 10:47,55,90,57,50,51,25,97,17,16,24,32,100,31,24,28,15,91,28,20,22,liar
12/5/18 10:45,12/5/18 10:47,100,99,TRUE,12/5/18 10:47,20,97,10,1,10,10,97,31,33,20,22,95,7,20,4,24,100,3,18,9,hypocrite
12/5/18 10:45,12/5/18 10:47,100,101,TRUE,12/5/18 10:47,64,74,57,71,57,63,59,61,82,66,68,71,79,83,67,63,66,71,62,71,hypocrite
12/5/18 10:45,12/5/18 10:47,100,93,TRUE,12/5/18 10:47,44,85,52,37,44,50,67,51,45,47,51,62,45,50,51,46,78,51,49,49,hypocrite
12/5/18 10:45,12/5/18 10:47,100,88,TRUE,12/5/18 10:47,1,100,0,3,1,12,100,2,10,1,2,100,5,9,16,24,100,33,28,26,hypocrite
12/5/18 10:46,12/5/18 10:47,100,85,TRUE,12/5/18 10:47,28,100,30,26,6,26,100,25,26,26,19,100,19,23,17,29,100,24,30,25,hypocrite
12/5/18 10:46,12/5/18 10:47,100,87,TRUE,12/5/18 10:47,26,91,26,51,25,31,91,33,51,30,28,72,51,45,31,39,67,43,51,42,hypocrite
12/5/18 10:45,12/5/18 10:47,100,101,TRUE,12/5/18 10:47,49,23,51,50,26,54,19,68,53,49,50,27,31,36,51,50,25,35,39,51,control
12/5/18 10:45,12/5/18 10:47,100,100,TRUE,12/5/18 10:47,16,75,36,37,0,8,100,3,7,13,0,100,34,33,34,7,100,35,26,19,liar
12/5/18 10:45,12/5/18 10:47,100,97,TRUE,12/5/18 10:47,82,75,62,63,71,61,78,73,62,67,71,65,64,65,72,69,62,63,74,70,control
12/5/18 10:46,12/5/18 10:47,100,66,TRUE,12/5/18 10:47,73,31,74,62,40,79,68,40,70,63,72,39,61,40,61,61,36,30,65,75,hypocrite
12/5/18 10:46,12/5/18 10:47,100,93,TRUE,12/5/18 10:47,11,91,15,22,10,39,83,42,40,39,17,88,41,37,15,34,93,11,28,8,hypocrite
12/5/18 10:45,12/5/18 10:47,100,112,TRUE,12/5/18 10:47,12,84,10,10,19,12,83,19,43,14,11,87,11,21,13,8,77,15,14,10,hypocrite
12/5/18 10:46,12/5/18 10:47,100,85,TRUE,12/5/18 10:47,37,74,44,44,37,50,57,57,59,55,49,49,50,50,48,45,66,45,50,45,control
12/5/18 10:46,12/5/18 10:47,100,77,TRUE,12/5/18 10:47,26,68,29,24,24,26,68,27,29,30,26,77,19,27,16,28,81,32,39,21,liar
12/5/18 10:45,12/5/18 10:47,100,114,TRUE,12/5/18 10:47,63,72,80,83,97,91,75,64,45,34,79,90,98,75,65,90,75,65,99,71,hypocrite
12/5/18 10:46,12/5/18 10:47,100,91,TRUE,12/5/18 10:47,49,54,63,65,60,69,72,61,63,87,52,58,61,79,58,83,60,72,71,54,control
12/5/18 10:46,12/5/18 10:47,100,103,TRUE,12/5/18 10:47,12,86,21,25,21,20,84,22,23,24,23,87,29,24,25,20,79,23,20,19,liar
12/5/18 10:45,12/5/18 10:47,100,122,TRUE,12/5/18 10:47,29,0,41,39,23,66,0,73,77,75,55,2,42,68,64,66,0,58,73,79,control
12/5/18 10:46,12/5/18 10:47,100,108,TRUE,12/5/18 10:47,26,76,38,51,35,30,50,37,65,29,29,80,41,40,34,34,60,37,44,33,hypocrite
12/5/18 10:46,12/5/18 10:47,100,107,TRUE,12/5/18 10:47,25,91,34,36,27,42,60,52,51,40,51,73,40,51,51,43,60,51,51,51,liar
12/5/18 10:45,12/5/18 10:48,100,127,TRUE,12/5/18 10:48,49,30,74,50,40,35,49,49,49,35,30,78,13,29,29,50,50,50,64,25,liar
12/5/18 10:46,12/5/18 10:48,100,123,TRUE,12/5/18 10:48,30,76,31,53,14,53,67,42,55,44,59,46,54,55,47,52,46,47,52,55,liar
12/5/18 10:46,12/5/18 10:48,100,132,TRUE,12/5/18 10:48,21,82,51,47,41,11,83,39,40,16,36,45,51,44,42,43,63,46,54,29,liar
12/5/18 10:46,12/5/18 10:48,100,131,TRUE,12/5/18 10:48,64,0,79,60,56,28,0,13,26,13,49,39,49,50,49,56,0,77,59,58,control
12/5/18 10:45,12/5/18 10:48,100,145,TRUE,12/5/18 10:48,22,51,51,23,22,54,44,55,56,57,53,45,51,55,53,54,51,51,46,51,control
12/5/18 10:46,12/5/18 10:48,100,140,TRUE,12/5/18 10:48,40,72,69,53,44,40,74,73,72,45,39,77,78,77,38,68,73,71,67,40,control
12/5/18 10:46,12/5/18 10:48,100,147,TRUE,12/5/18 10:48,38,85,31,43,33,30,85,36,41,24,24,79,29,37,19,37,76,36,45,24,liar
12/5/18 10:45,12/5/18 10:48,100,161,TRUE,12/5/18 10:48,52,100,51,49,53,50,100,51,51,51,50,100,51,51,51,50,100,51,51,51,hypocrite
12/5/18 10:46,12/5/18 10:48,100,137,TRUE,12/5/18 10:48,2,100,38,40,2,0,100,29,36,0,21,100,46,49,20,10,100,47,41,15,liar
12/5/18 10:45,12/5/18 10:48,100,181,TRUE,12/5/18 10:48,21,62,46,44,25,32,69,40,45,40,14,71,28,45,22,34,61,41,47,51,hypocrite
12/5/18 10:46,12/5/18 10:49,100,173,TRUE,12/5/18 10:49,26,96,45,32,8,35,95,33,33,33,34,51,37,25,39,27,67,46,50,45,control
12/5/18 10:47,12/5/18 10:49,100,100,TRUE,12/5/18 10:49,26,92,37,39,19,36,92,51,63,32,40,78,51,51,51,45,79,55,55,40,hypocrite
12/5/18 10:46,12/5/18 10:49,100,209,TRUE,12/5/18 10:49,1,98,2,1,0,0,98,0,1,0,1,59,0,0,0,0,0,0,0,0,hypocrite
12/5/18 10:47,12/5/18 10:49,100,123,TRUE,12/5/18 10:49,64,67,65,64,59,77,88,84,78,90,84,71,88,60,77,79,78,75,64,63,hypocrite
12/5/18 10:46,12/5/18 10:50,100,217,TRUE,12/5/18 10:50,100,51,91,100,100,84,60,73,67,78,95,51,80,94,94,68,51,72,71,90,hypocrite
12/5/18 10:47,12/5/18 10:50,100,166,TRUE,12/5/18 10:50,5,10,18,28,8,3,92,25,16,18,3,96,9,22,7,13,91,12,20,5,hypocrite
12/5/18 10:47,12/5/18 10:50,100,168,TRUE,12/5/18 10:50,32,89,33,40,14,31,91,28,30,51,28,98,25,51,0,32,87,39,49,5,hypocrite
12/5/18 10:50,12/5/18 10:51,100,83,TRUE,12/5/18 10:51,34,100,38,51,19,42,84,51,48,42,43,73,47,46,41,45,86,48,47,44,liar
12/5/18 10:49,12/5/18 10:52,100,159,TRUE,12/5/18 10:52,46,73,87,78,62,58,39,27,72,83,45,82,60,75,71,40,63,86,43,80,liar
12/5/18 10:50,12/5/18 10:52,100,100,TRUE,12/5/18 10:52,47,68,50,54,40,42,78,55,48,52,40,63,26,32,43,59,26,46,54,54,control
12/5/18 10:50,12/5/18 10:52,100,102,TRUE,12/5/18 10:52,0,100,0,0,0,18,100,18,19,18,24,100,5,25,27,20,100,0,0,21,control
12/5/18 10:45,12/5/18 10:53,100,472,TRUE,12/5/18 10:53,93,66,74,62,91,93,29,87,78,96,100,17,100,76,90,100,36,86,91,98,hypocrite
12/5/18 10:53,12/5/18 10:54,100,80,TRUE,12/5/18 10:54,39,22,39,26,36,50,5,51,51,51,50,51,51,51,51,50,14,51,51,51,control
12/5/18 10:55,12/5/18 10:57,100,105,TRUE,12/5/18 10:57,18,82,14,32,16,30,81,21,38,30,28,81,8,25,16,34,87,18,32,19,hypocrite
12/5/18 10:55,12/5/18 10:57,100,102,TRUE,12/5/18 10:57,67,68,68,69,67,58,89,58,57,57,44,66,44,46,45,67,72,58,64,68,control
12/5/18 10:45,12/5/18 10:58,100,735,TRUE,12/5/18 10:58,45,95,36,43,43,35,100,41,37,28,46,100,44,48,35,43,81,56,45,38,hypocrite
12/5/18 10:57,12/5/18 10:59,100,78,TRUE,12/5/18 10:59,26,93,30,28,27,66,25,66,63,81,0,97,19,28,2,30,82,28,31,25,liar
12/5/18 10:58,12/5/18 11:00,100,132,TRUE,12/5/18 11:00,78,94,89,75,71,89,55,81,81,81,100,80,97,98,92,81,37,70,75,80,hypocrite
12/5/18 11:00,12/5/18 11:02,100,76,TRUE,12/5/18 11:02,40,72,53,51,33,42,94,27,42,22,25,86,39,38,16,56,81,55,57,44,hypocrite
12/5/18 11:04,12/5/18 11:06,100,106,TRUE,12/5/18 11:06,12,92,11,14,10,10,95,9,19,8,14,94,13,15,13,12,98,15,21,6,hypocrite
12/5/18 11:05,12/5/18 11:06,100,93,TRUE,12/5/18 11:06,50,29,51,51,51,50,100,51,48,47,50,88,51,49,18,50,84,51,51,51,liar
12/5/18 11:03,12/5/18 11:07,100,248,TRUE,12/5/18 11:07,18,84,40,28,16,16,84,35,19,14,19,82,20,35,22,36,81,37,38,38,hypocrite
12/5/18 11:06,12/5/18 11:08,100,71,TRUE,12/5/18 11:08,88,10,92,86,78,91,20,78,83,85,74,8,61,69,85,81,7,80,95,90,control
12/5/18 11:06,12/5/18 11:08,100,96,TRUE,12/5/18 11:08,49,23,49,51,51,50,7,51,51,51,50,9,51,51,51,50,5,51,48,51,control
12/5/18 11:11,12/5/18 11:15,100,246,TRUE,12/5/18 11:15,24,79,28,34,29,13,76,21,13,21,33,59,60,37,45,39,51,65,51,59,liar
12/5/18 10:47,12/5/18 11:16,100,1728,TRUE,12/5/18 11:16,88,36,16,16,87,49,71,79,76,62,37,82,14,32,6,72,81,27,7,80,control
12/5/18 11:13,12/5/18 11:17,100,212,TRUE,12/5/18 11:17,37,75,68,29,22,86,71,80,81,79,77,86,86,61,77,73,64,71,75,58,hypocrite
12/5/18 11:18,12/5/18 11:20,100,94,TRUE,12/5/18 11:20,9,84,0,0,10,16,100,17,33,6,83,40,75,74,76,34,77,51,73,42,liar
12/5/18 11:19,12/5/18 11:21,100,96,TRUE,12/5/18 11:21,5,100,19,15,10,6,100,19,27,9,17,100,31,16,9,16,96,32,43,28,hypocrite
12/5/18 11:19,12/5/18 11:24,100,305,TRUE,12/5/18 11:24,53,97,33,57,28,73,83,89,81,93,0,41,0,0,6,10,99,19,11,5,hypocrite
12/5/18 11:22,12/5/18 11:24,100,104,TRUE,12/5/18 11:24,25,100,47,51,13,30,100,51,51,24,30,100,51,51,29,27,100,49,51,21,liar
12/5/18 11:26,12/5/18 11:27,100,78,TRUE,12/5/18 11:27,0,97,0,9,0,22,100,4,32,19,19,100,12,39,38,15,100,10,9,46,hypocrite
12/5/18 11:25,12/5/18 11:27,100,140,TRUE,12/5/18 11:27,48,49,51,51,49,27,51,51,51,19,28,51,27,51,51,50,51,51,51,51,control
12/5/18 11:31,12/5/18 11:33,100,109,TRUE,12/5/18 11:33,16,91,20,33,12,34,78,35,36,28,21,88,12,19,22,13,90,23,30,10,liar
12/5/18 11:32,12/5/18 11:36,100,199,TRUE,12/5/18 11:36,29,34,41,37,36,33,69,43,34,38,37,81,47,26,34,29,81,23,30,20,liar
12/5/18 11:36,12/5/18 11:37,100,43,TRUE,12/5/18 11:37,67,61,39,51,62,61,38,59,37,51,62,51,34,38,39,58,39,51,57,62,hypocrite
12/5/18 11:35,12/5/18 11:37,100,146,TRUE,12/5/18 11:37,11,83,54,51,27,12,81,15,30,32,68,92,23,20,9,15,73,20,22,21,hypocrite
12/5/18 11:35,12/5/18 11:38,100,157,TRUE,12/5/18 11:38,0,76,5,3,5,7,74,6,13,9,0,100,0,3,6,8,51,7,10,13,hypocrite
12/5/18 11:35,12/5/18 11:39,100,230,TRUE,12/5/18 11:39,21,100,32,39,22,25,100,38,34,23,23,100,22,23,23,27,100,25,36,15,hypocrite
12/5/18 11:40,12/5/18 11:41,100,91,TRUE,12/5/18 11:41,0,100,0,0,0,0,82,0,6,0,0,100,0,0,0,0,90,0,2,0,control
12/5/18 11:46,12/5/18 11:47,100,53,TRUE,12/5/18 11:47,71,70,72,71,39,81,66,72,72,62,74,67,72,76,76,68,83,70,81,76,control
12/5/18 11:48,12/5/18 11:49,100,95,TRUE,12/5/18 11:49,36,69,45,43,36,44,74,67,49,44,45,64,51,50,46,36,64,50,52,37,control
12/5/18 11:46,12/5/18 11:49,100,183,TRUE,12/5/18 11:49,8,98,33,39,24,17,86,41,37,33,20,99,35,29,33,43,63,50,49,43,liar
12/5/18 11:46,12/5/18 11:58,100,691,TRUE,12/5/18 11:58,50,52,52,51,44,51,51,48,51,48,48,51,48,47,51,53,52,51,54,56,control
12/5/18 12:11,12/5/18 12:14,100,169,TRUE,12/5/18 12:14,42,73,24,56,36,59,55,66,65,51,45,73,53,66,59,62,59,67,72,66,liar
12/5/18 12:20,12/5/18 12:21,100,40,TRUE,12/5/18 12:21,40,18,23,69,66,72,62,65,29,17,18,62,39,44,81,57,85,21,62,13,control
12/5/18 12:49,12/5/18 12:51,100,115,TRUE,12/5/18 12:51,53,88,64,58,57,53,100,64,47,56,21,100,53,56,23,60,65,68,53,75,hypocrite
12/5/18 13:51,12/5/18 13:52,100,50,TRUE,12/5/18 13:52,100,90,93,100,91,100,96,100,99,100,96,100,100,100,99,100,100,84,99,98,hypocrite
12/5/18 13:50,12/5/18 13:52,100,89,TRUE,12/5/18 13:52,22,35,51,52,17,51,51,51,51,51,50,51,51,51,51,52,51,52,51,51,control
12/5/18 13:51,12/5/18 13:52,100,71,TRUE,12/5/18 13:52,50,56,51,47,51,50,71,51,51,51,50,96,31,32,39,48,86,52,51,51,control
12/5/18 13:50,12/5/18 13:52,100,107,TRUE,12/5/18 13:52,37,12,51,51,28,50,2,51,51,51,50,14,50,50,50,50,6,51,51,51,control
12/5/18 13:52,12/5/18 13:53,100,69,TRUE,12/5/18 13:53,80,35,99,78,85,88,28,94,95,87,95,18,97,99,97,96,9,82,97,91,liar
12/5/18 13:51,12/5/18 13:53,100,120,TRUE,12/5/18 13:53,63,67,87,72,42,62,71,75,81,45,70,66,61,41,42,83,84,70,41,68,hypocrite
12/5/18 13:50,12/5/18 13:53,100,152,TRUE,12/5/18 13:53,0,23,24,0,0,30,27,35,47,71,24,46,47,36,0,11,90,9,19,7,liar
12/5/18 13:51,12/5/18 13:53,100,120,TRUE,12/5/18 13:53,16,46,21,34,9,43,43,39,45,48,46,41,46,45,47,47,47,38,48,45,control
